"source","title","priceCny","priceEur","monthlySales","repurchaseRate"
"1688","[Factory Outlet] Solid Color Large Neckline Short Sleeve T-Shirt Women's Loose Casual Slimming V-neck Base Shirt Fashion Brand","7.80CNY","1.01 EUR","6239","19.06%"
"1688","Spring and Summer Women's Bottoming Vest Pure Cotton Round Neck High Elastic Breathable Breast Reduction High School Girls Wear Outside and Inside Vest","13.00CNY","1.69 EUR","323","28.57%"
"1688","Bm Style American Hot Girl Solid Color Six-Button Tank Top, Slim Fit Outerwear Cotton Top for Women","38.00CNY","4.94 EUR","252","5.65%"
"1688","Modal Camisole Women's Summer Thin Inner Sleeveless Base Large Size Loose Slim Top for Chubby Girls","9.00CNY","1.17 EUR","876","4.98%"
"1688","in stock Lyocell Tencel Linen Cotton Button Outer Wear Inner Vest Korean All-match Comfortable Slim-fit Clavicle-exposed Sling","28.00CNY","3.64 EUR","456","7.73%"
"1688","Love T-Shirt for Women Pure Cotton Kawasaki Heart T-Shirt for Men Play Baby Little Red Heart Baaling Short-Sleeved Family Couple Wear","25.00CNY","3.25 EUR","160","23.08%"
"1688","Cross-border European and American Foreign Trade Strapless Women's Inner Wearing Pure Spice Girl Top Summer Outer Wearing Pullover Vest Slim-fit Women's Clothing","7.50CNY","0.98 EUR","3295","28.93%"
"1688","Oil painting jacket women's summer new seaside vacation hot girl hanging neck strap small vest short small jacket wholesale","15.50CNY","2.02 EUR","1007","18.56%"
"1688","Shake Tone Same Summer Pure Spice Girl Thick Coaster Small Chest Large Camisole Women Slim All-match Underwear Top","8.50CNY","1.10 EUR","1999","25.93%"
"1688","European Station French Design Sense Mesh Lace Plastic Beautiful Back Underwear Spice Girl Fish Bone Tube Chest Women's Thin","31.00CNY","4.03 EUR","248","45.45%"
"1688","Purely Sexy Camisole for Women with Breast Pads, Versatile and Slim-Fitting, Can Be Worn Outside or as an Inner Layer, with a Beautiful Back Design, Sleeveless Top for Summer","7.88CNY","1.02 EUR","2142","28.21%"
"1688","In-Stock Manga-Style Chest-Enhancing Camisole with Chest Pads for Summer, Slim-Fit, Suitable for Small Busts, Base Layer Top","20.00CNY","2.60 EUR","509","8.55%"
"1688","Breathable Camisole with Built-In Chest Pads and Wide Shoulder Straps, Women's Summer Slim-Fit Square-Neck Base Top","33.50CNY","4.36 EUR","1551","5.13%"
"1688","2024 Summer Women's Clothing Amazon Cotton and Linen Set European and American Sleeveless Top Wide-Leg Pants Two-Piece Set Girly Style","38.00CNY","4.94 EUR","386","52.94%"
"1688","Thickened 260g Solid Color Racerback Camisole for Women with Chest Pads, Slim Fit, Versatile Base Layer","18.90CNY","2.46 EUR","352","5.5%"
"1688","[Factory Direct Sale] Sweet Lace Splicing Camisole Women's Spring and Summer Korean Style Thin Inner Sleeveless Vest","4.70CNY","0.61 EUR","14363","54.97%"
"1688","2025 Camisole Women's White Beautiful Back Acetic Acid Silk Top Satin Summer Suit Imitation Base Shirt","18.80CNY","2.44 EUR","1259","8.57%"
"1688","Pure Cotton White Tank Top for Women, 2026 New Spring Fashion, Anti-Exposure, Slimming, Beautiful Back Design, Camisole Base Layer Top","16.50CNY","2.15 EUR","476","3.39%"
"1688","Selected Ribbed Cotton 2026 Summer New Style Spicy Girl Camisole Tank Top for Women, Can Be Worn as an Inner Layer or Outerwear, with Beautiful Back Design and Chest Pads","19.98CNY","2.60 EUR","538","16.22%"
"1688","862 # Rayon Vitality Dopamine Color Check Cross Bra Camisole Pure Desire Hot Girl Fake Two-Piece Small Top for Women","10.50CNY","1.36 EUR","1360","28.42%"
"1688","Summer 2026 American Style Spicy Girl U-Neck Camisole with Chest Pads, Stunning Slim-Fit Tank Top That Hides Side Breasts, Short Top","19.00CNY","2.47 EUR","193","4.48%"
"1688","European and American Cross-Border Sexy Lace Camisole Top, New Summer Vacation Style, Short Striped Lace Tank Top That Shows the Bust","35.60CNY","4.63 EUR","188","21.43%"
"1688","2026 Summer New Korean Designer Alo Sports Knitted Casual Yoga Bra Fitness Camisole for Women","29.90CNY","3.89 EUR","235","8.62%"
"1688","2026 Spring and Summer Silk Wool T-Shirt for Women, Thin, Slightly See-Through, Loose Casual Outerwear, Round Neck, Long-Sleeved Blouse","46.00CNY","5.98 EUR","334","18.42%"
"1688","Metwo Concave Collar Racerback Vest with Latex Straps, Ultra-Thin, Breathable, Comfortable, Backless Racerback Vest Inner Top","21.00CNY","2.73 EUR","242","4.67%"
"1688","Small Camisole with Built-In Bra Pads for Women, Invisible Foundation-Like Base Layer, Beautiful Back Design, Plus Size, Short Style","18.00CNY","2.34 EUR","194","11.29%"
"1688","Purple New Style Pleated Camisole with Chest Pads for Women, Suitable for Wearing Outside or Inside, Featuring a Cinched Waist and Beautiful Back Design for Summer","12.60CNY","1.64 EUR","1134","15.56%"
"1688","2026 European and American Cotton and Linen Camisole Women's Summer New Loose Cotton and Linen Sleeveless Versatile Base Top","15.00CNY","1.95 EUR","876","52%"
"1688","Summer Thin Pure Cotton Women's Sleeveless Ribbed Knit Tank Top Versatile Outerwear","11.80CNY","1.53 EUR","775","23.4%"
"1688","Cartoon Outer-Chest Expanded Camisole Women's Outer Wear Summer Slim-Fit Slimming Small Chest Large Spice Girl Inner Base Top","15.50CNY","2.02 EUR","224","6.19%"
"1688","Four Seasons New Style High-Elastic Thin Strap Women's Tank Top, Soft and Comfortable, Slimming, Suitable for Outerwear or as a Base Layer, with a Beautiful Back Design","37.00CNY","4.81 EUR","2094","8.82%"
"1688","Live Broadcast Thickened Chest Pads for a Larger Appearance, Detachable Camisole Versatile Short Style with Beautiful Back, Base Wrap, and Bandeau for Women","6.90CNY","0.90 EUR","319","17.65%"
